ABN,Charity_Legal_Name,Other_Organisation_Names,Address_Type,Address_Line_1,Address_Line_2,Address_Line_3,Town_City,State,Postcode,Country,Charity_Website,Registration_Date,Date_Organisation_Established,Charity_Size,Number_of_Responsible_Persons,Financial_Year_End,Operates_in_ACT,Operates_in_NSW,Operates_in_NT,Operates_in_QLD,Operates_in_SA,Operates_in_TAS,Operates_in_VIC,Operates_in_WA,Operating_Countries,PBI,HPC,Preventing_or_relieving_suffering_of_animals,Advancing_Culture,Advancing_Education,Advancing_Health,Promote_or_oppose_a_change_to_law__government_poll_or_prac,Advancing_natual_environment,Promoting_or_protecting_human_rights,Purposes_beneficial_to_ther_general_public_and_other_analogous,Promoting_reconciliation__mutual_respect_and_tolerance,Advancing_Religion,Advancing_social_or_public_welfare,Advancing_security_or_safety_of_Australia_or_Australian_public,Aboriginal_or_TSI,Adults,Aged_Persons,Children,Communities_Overseas,Early_Childhood,Ethnic_Groups,Families,Females,Financially_Disadvantaged,LGBTIQA+,General_Community_in_Australia,Males,Migrants_Refugees_or_Asylum_Seekers,Other_Beneficiaries,Other_Charities,People_at_risk_of_homelessness,People_with_Chronic_Illness,People_with_Disabilities,Pre_Post_Release_Offenders,Rural_Regional_Remote_Communities,Unemployed_Person,Veterans_or_their_families,Victims_of_crime,Victims_of_Disasters,Youth,animals,environment,other_gender_identities
35688487023,RESURGENCE CHURCH LIMITED,,Business,Unit 9 130 Kingston Rd,,,Underwood,QLD,4119,Australia,,27/06/2025,20/06/2025,,4,30-Jun,,,,Y,,,,,,,,,,,,,,,,,Y,,,Y,Y,Y,Y,,Y,,Y,Y,,,Y,Y,,,,,,,,Y,,,,,Y,,,
13650100020,NORTHERN HOPE LIMITED,,Business,39 Bolton St,,,Whitfield,QLD,4870,Australia,,11/05/2021,11/05/2021,Small,3,30-Jun,,,,Y,,,,,AUS,,,,,,,,,,,,Y,,,,Y,Y,Y,,Y,,Y,,,,,,,,,,,,,,,,,,Y,,,
32648547577,BROWN PLUMB LIMITED,Brown Plumb Foundation,Business,61 St Helier Dr,,,Sorrento,WA,6020,Australia,www.brwonplumb.org.au,26/05/2021,09/03/2021,Small,4,30-Jun,,,,,,,,Y,AUS,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,Y,,,,,,,,,,
29872754678,THE CHRISTIAN DISCIPLES CENTRE INCORPORATED,,Business,22 laverton road brabham,,,perth,WA,6055,Australia,,24/01/2018,24/01/2018,Small,5,30-Jun,,,,,,,,Y,AUS,,,,,,,,,,,,Y,,,,,,,,,,Y,,Y,,Y,,,,,,,,,,,,,,,,,
15628753088,Social Flourishing Institute Ltd,,Business,78 St Leonards Road,,,Ascot Vale,VIC,3032,Australia,https://www.socialflourishing.com.au,07/05/2021,12/09/2018,Small,3,30-Jun,,,,,,,,,"USA, ZMB",,,,,Y,,,,,Y,,,,,,Y,Y,,Y,,Y,Y,,Y,,Y,,Y,,,Y,Y,Y,,Y,,,,,Y,,Y,
51108712811,The Honig Foundation,,Business,c/o Ageis Accounting Tax Law,"Level 12, 167 Macquarie Street",,Sydney,NSW,2000,,honig.org.au,13/05/2021,13/05/2021,Large,3,30-Jun,,,,,,,,,AUS,,,,,,,,,,Y,,,,,Y,Y,Y,Y,,Y,Y,Y,Y,Y,,Y,Y,,,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,
24998086842,Narrabri Men's Shed Inc,,Business,11 Reid St,,,Narrabri,NSW,2390,Australia,,03/12/2012,08/03/2010,Small,7,30-Jun,,Y,,,,,,,AUS,,,,,,,,,,,,,Y,,Y,,Y,,,,Y,,,Y,,,Y,Y,,,,Y,Y,,Y,,Y,,,,,Y,
37882449540,Pucker Farm Animal Sanctuary,,Business,386 Kondinin-hyden Rd,,,Kondinin,WA,6367,Australia,,01/07/2021,29/08/2016,Small,3,30-Jun,,,,,,,,Y,AUS,,,Y,,,,,,,,,,,,,Y,Y,,,,,,Y,,,Y,Y,,,,Y,,,,Y,Y,,,,,Y,,
89686893612,CLARK COURT LTD,,Business,5 Mackie St,,,Victoria Park,WA,6100,Australia,https://www.connectvictoriapark.org/,08/05/2025,08/05/2025,,4,30-Jun,,,,,,,,Y,,Y,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,,,,,
32276245701,the Munro Seymour Foundation,,Business,Se 1 25 Napier Cl,,,Deakin,ACT,2600,Australia,,12/11/2024,12/11/2024,,5,30-Jun,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,
61689641816,HS PURPOSE TOPCO LTD,,Business,L 6 171 Collins St,,,Melbourne,VIC,3000,Australia,,12/08/2025,01/08/2025,,4,30-Jun,Y,Y,Y,Y,Y,Y,Y,Y,,Y,,,,,Y,,,,,,,Y,,,,,,,,,Y,,Y,,Y,,,Y,,,Y,Y,,Y,,,,,,,,
25689983944,SHINE PROJECT AUSTRALIA LTD,,Business,Suite 2,71 Kent Street,,Busselton,WA,6280,Australia,www.shineproject.com.au,13/08/2025,13/08/2025,Small,3,31-Dec,,,,,,,,Y,AUS,,,,Y,,,,,,,,,,,Y,,,,,,Y,Y,Y,Y,,Y,Y,Y,,,,,,,Y,,,,,Y,,,Y
50309082431,The Eli Chatfield Foundation Incorporated,,Business,4 Berrima St,,,Catalina,NSW,2536,Australia,,30/07/2025,30/07/2025,,4,30-Jun,,Y,,,,,,,,,Y,,,,Y,,,,,,,Y,,,,,Y,,Y,,,,,,,,,Y,,,,,,,,,,,,,,
64306002161,Somali International Aid and Development Organisation Incorporated,,Business,U 123 510 Lygon St,,,Carlton,VIC,3053,Australia,,04/07/2025,27/07/2017,,5,30-Jun,,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,,,Y,,,Y,,Y,,Y,,,Y,,,,,,,,,,,,
94479700953,Jarrdimba Bayamuku (Strengthening the Children) Aboriginal Corporation,,Business,Seven Emu StationSavannah Wayvia,Savannah Way,via,BORROLOOLA,NT,0854,Australia,,14/10/2019,14/10/2019,,6,30-Jun,,,Y,,,,,,,,,,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,,,,,,,Y,,,,,Y,,,
95453823952,Seventh-day Adventist Church (Pacific) Trust,,Business,148 Fox Valley Rd,,,Wahroonga,NSW,2076,Australia,adventistchurch.com,01/07/2020,22/04/2005,Large,13,30-Jun,,,,,,,,,"AUS, COK, FJI, KIR, SLB, TON, TUV",,,,,,,,,,,,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,
